iter	Passed	Remaining
0	138	138451
1	140	70057
2	141	47140
3	143	35635
4	144	28771
5	145	24176
6	148	21002
7	149	18525
8	150	16577
9	151	15018
10	153	13773
11	154	12725
12	156	11856
13	159	11221
14	161	10574
15	162	9979
16	163	9456
17	165	9004
18	167	8641
19	169	8318
20	171	7994
21	173	7698
22	174	7420
23	176	7166
24	177	6940
25	179	6715
26	180	6504
27	181	6304
28	183	6136
29	184	5966
30	185	5802
31	186	5653
32	188	5514
33	189	5387
34	190	5265
35	192	5152
36	194	5057
37	197	4990
38	198	4889
39	199	4790
40	200	4698
41	202	4621
42	204	4544
43	205	4461
44	206	4382
45	208	4319
46	210	4260
47	211	4192
48	213	4137
49	214	4079
50	216	4020
51	217	3962
52	218	3905
53	220	3863
54	222	3815
55	223	3772
56	225	3731
57	228	3703
58	230	3683
59	236	3699
60	237	3661
61	240	3635
62	241	3595
63	243	3558
64	251	3620
65	253	3591
66	255	3560
67	257	3529
68	259	3504
69	261	3469
70	262	3432
71	263	3400
72	266	3380
73	267	3348
74	269	3328
75	273	3320
76	275	3298
77	276	3269
78	277	3239
79	279	3210
80	280	3182
81	281	3155
82	282	3122
83	284	3097
84	285	3074
85	291	3094
86	295	3100
87	296	3077
88	298	3055
89	299	3031
90	301	3015
91	303	2994
92	304	2972
93	308	2971
94	309	2951
95	311	2930
96	312	2910
97	314	2891
98	315	2868
99	316	2846
100	317	2829
101	319	2812
102	320	2792
103	322	2775
104	324	2762
105	326	2754
106	327	2735
107	329	2719
108	332	2717
109	333	2700
110	335	2684
111	336	2669
112	338	2660
113	342	2660
114	345	2658
115	347	2647
116	348	2631
117	350	2618
118	351	2603
119	352	2588
120	354	2573
121	355	2557
122	357	2549
123	359	2538
124	361	2527
125	362	2513
126	363	2496
127	364	2484
128	366	2477
129	369	2472
130	371	2464
131	373	2455
132	375	2445
133	376	2436
134	379	2429
135	380	2416
136	381	2404
137	383	2393
138	385	2387
139	386	2374
140	387	2361
141	388	2346
142	389	2336
143	391	2325
144	392	2314
145	393	2302
146	394	2291
147	396	2281
148	397	2270
149	398	2259
150	400	2249
151	401	2241
152	403	2234
153	404	2223
154	405	2212
155	407	2204
156	409	2196
157	410	2190
158	412	2180
159	413	2170
160	414	2158
161	415	2149
162	416	2139
163	417	2129
164	419	2120
165	420	2112
166	421	2104
167	423	2095
168	424	2086
169	425	2077
170	426	2069
171	428	2060
172	429	2051
173	430	2042
174	431	2033
175	432	2025
176	433	2017
177	435	2009
178	436	2001
179	437	1993
180	439	1986
181	440	1979
182	441	1972
183	442	1964
184	444	1956
185	445	1951
186	447	1944
187	448	1936
188	449	1928
189	451	1922
190	452	1916
191	453	1909
192	455	1902
193	456	1896
194	457	1890
195	459	1884
196	460	1878
197	463	1878
198	467	1879
199	469	1877
200	470	1871
201	472	1865
202	473	1858
203	474	1852
204	476	1846
205	477	1841
206	479	1835
207	480	1829
208	482	1825
209	484	1822
210	485	1816
211	487	1810
212	488	1804
213	489	1798
214	490	1792
215	492	1785
216	493	1780
217	495	1776
218	497	1772
219	498	1767
220	501	1769
221	503	1763
222	504	1757
223	505	1752
224	507	1748
225	509	1743
226	510	1738
227	511	1732
228	513	1727
229	514	1722
230	516	1718
231	519	1718
232	521	1715
233	523	1713
234	525	1711
235	527	1706
236	528	1700
237	529	1695
238	530	1690
239	533	1690
240	535	1687
241	537	1684
242	539	1679
243	540	1673
244	541	1669
245	543	1665
246	544	1661
247	546	1656
248	555	1675
249	557	1672
250	558	1668
251	560	1663
252	562	1661
253	564	1656
254	565	1651
255	566	1647
256	568	1642
257	569	1638
258	570	1633
259	572	1628
260	573	1623
261	574	1618
262	577	1617
263	581	1620
264	583	1619
265	586	1617
266	587	1613
267	589	1609
268	590	1604
269	592	1601
270	593	1596
271	597	1599
272	599	1597
273	602	1595
274	603	1591
275	604	1586
276	606	1582
277	607	1577
278	609	1576
279	611	1573
280	613	1568
281	615	1566
282	617	1564
283	618	1559
284	621	1560
285	623	1557
286	625	1553
287	626	1549
288	628	1546
289	630	1543
290	631	1539
291	634	1537
292	636	1536
293	638	1533
294	641	1532
295	642	1528
296	644	1525
297	646	1524
298	648	1520
299	649	1516
300	651	1511
301	652	1508
302	654	1504
303	655	1500
304	657	1497
305	659	1495
306	661	1493
307	662	1489
308	664	1485
309	666	1482
310	667	1478
311	668	1474
312	670	1470
313	671	1467
314	672	1463
315	674	1459
316	675	1456
317	678	1454
318	679	1450
319	680	1446
320	682	1444
321	684	1441
322	685	1437
323	687	1433
324	689	1431
325	691	1429
326	696	1433
327	698	1431
328	700	1428
329	702	1426
330	703	1422
331	705	1418
332	706	1415
333	708	1411
334	709	1407
335	710	1404
336	711	1400
337	713	1397
338	715	1394
339	716	1390
340	717	1387
341	720	1385
342	721	1381
343	722	1377
344	723	1373
345	724	1370
346	726	1367
347	727	1363
348	728	1359
349	730	1355
350	731	1352
351	733	1350
352	734	1346
353	735	1343
354	737	1339
355	738	1335
356	739	1332
357	740	1328
358	741	1324
359	742	1320
360	744	1317
361	745	1314
362	747	1311
363	748	1308
364	750	1305
365	751	1302
366	753	1298
367	754	1295
368	755	1292
369	757	1289
370	758	1285
371	759	1281
372	760	1278
373	762	1275
374	764	1273
375	765	1270
376	766	1267
377	767	1263
378	769	1260
379	770	1257
380	772	1254
381	773	1251
382	775	1248
383	776	1245
384	777	1242
385	778	1238
386	779	1235
387	781	1232
388	782	1228
389	783	1225
390	784	1221
391	785	1218
392	786	1215
393	788	1212
394	789	1208
395	790	1205
396	791	1202
397	793	1200
398	794	1196
399	795	1193
400	797	1190
401	798	1187
402	800	1185
403	801	1182
404	802	1179
405	804	1176
406	805	1174
407	807	1171
408	808	1168
409	809	1165
410	812	1164
411	814	1161
412	815	1158
413	816	1155
414	817	1152
415	819	1150
416	820	1146
417	821	1143
418	822	1140
419	824	1138
420	825	1135
421	827	1132
422	828	1129
423	829	1126
424	830	1124
425	832	1121
426	833	1118
427	834	1115
428	835	1112
429	837	1109
430	838	1106
431	839	1103
432	840	1100
433	841	1097
434	843	1095
435	844	1092
436	845	1089
437	846	1086
438	847	1083
439	849	1081
440	851	1079
441	852	1076
442	853	1073
443	854	1070
444	856	1067
445	857	1064
446	858	1062
447	859	1059
448	860	1056
449	862	1053
450	863	1051
451	865	1048
452	867	1047
453	869	1046
454	871	1043
455	872	1041
456	874	1038
457	875	1035
458	876	1033
459	877	1030
460	878	1027
461	880	1024
462	881	1022
463	882	1019
464	883	1016
465	885	1014
466	886	1011
467	887	1009
468	888	1006
469	889	1003
470	891	1000
471	892	998
472	893	995
473	894	992
474	895	989
475	896	986
476	897	984
477	899	982
478	900	979
479	901	977
480	903	974
481	904	972
482	906	969
483	907	967
484	908	964
485	910	962
486	911	960
487	913	957
488	914	955
489	915	952
490	916	950
491	918	948
492	920	946
493	921	944
494	926	944
495	928	943
496	929	940
497	930	938
498	932	935
499	934	934
500	936	933
501	938	930
502	939	927
503	940	925
504	942	923
505	943	920
506	944	918
507	945	915
508	947	913
509	948	911
510	949	908
511	950	906
512	952	904
513	953	901
514	954	898
515	955	896
516	956	893
517	957	891
518	959	889
519	960	886
520	961	884
521	962	881
522	964	879
523	965	877
524	966	874
525	967	872
526	969	869
527	970	867
528	972	865
529	973	863
530	974	861
531	976	858
532	978	857
533	979	854
534	981	852
535	983	851
536	986	850
537	987	847
538	988	845
539	991	844
540	992	842
541	993	839
542	996	838
543	997	835
544	998	833
545	999	831
546	1001	829
547	1002	827
548	1003	824
549	1005	822
550	1006	819
551	1007	817
552	1009	815
553	1010	813
554	1011	811
555	1012	808
556	1014	806
557	1015	804
558	1016	802
559	1017	799
560	1019	797
561	1020	795
562	1022	793
563	1024	791
564	1025	789
565	1026	787
566	1027	785
567	1029	782
568	1030	780
569	1032	779
570	1034	777
571	1035	775
572	1037	772
573	1042	773
574	1043	771
575	1045	769
576	1047	767
577	1048	765
578	1050	763
579	1051	761
580	1053	759
581	1054	757
582	1055	754
583	1056	752
584	1058	750
585	1059	748
586	1060	746
587	1061	743
588	1063	741
589	1065	740
590	1066	737
591	1067	735
592	1069	733
593	1070	731
594	1071	729
595	1072	727
596	1073	724
597	1075	723
598	1077	721
599	1078	718
600	1079	716
601	1080	714
602	1082	712
603	1083	710
604	1085	708
605	1087	706
606	1090	705
607	1091	703
608	1093	701
609	1095	700
610	1099	699
611	1104	700
612	1106	698
613	1108	697
614	1110	694
615	1111	692
616	1113	690
617	1114	688
618	1115	686
619	1116	684
620	1118	682
621	1120	681
622	1122	679
623	1123	677
624	1125	675
625	1126	673
626	1128	671
627	1130	669
628	1132	668
629	1133	665
630	1134	663
631	1136	661
632	1138	660
633	1139	658
634	1141	655
635	1142	653
636	1144	652
637	1145	650
638	1148	648
639	1151	647
640	1153	645
641	1155	644
642	1156	642
643	1158	640
644	1160	638
645	1163	637
646	1166	636
647	1169	635
648	1171	633
649	1172	631
650	1175	630
651	1199	639
652	1205	640
653	1208	639
654	1210	637
655	1212	635
656	1213	633
657	1216	632
658	1218	630
659	1221	629
660	1226	629
661	1228	627
662	1230	625
663	1232	623
664	1233	621
665	1235	619
666	1238	618
667	1240	616
668	1242	614
669	1243	612
670	1245	610
